year,fips,geo_title,10xx_naics_npo_employ,10xx_naics_npo_estab,10xx_naics_npo_salary,10xx_naics_npo_wages,10xx_naics_npo_weekly,10xx_naics_percent_npo,10xx_naics_priv_employ,10xx_naics_priv_estab,10xx_naics_priv_salary,10xx_naics_priv_wages,10xx_naics_priv_weekly,10xx_naics_wage_ratio_npo,61xx_naics_npo_employ,61xx_naics_npo_estab,61xx_naics_npo_salary,61xx_naics_npo_wages,61xx_naics_npo_weekly,61xx_naics_percent_npo,61xx_naics_priv_employ,61xx_naics_priv_estab,61xx_naics_priv_salary,61xx_naics_priv_wages,61xx_naics_priv_weekly,61xx_naics_wage_ratio_npo,62xx_naics_npo_employ,62xx_naics_npo_estab,62xx_naics_npo_salary,62xx_naics_npo_wages,62xx_naics_npo_weekly,62xx_naics_percent_npo,62xx_naics_priv_employ,62xx_naics_priv_estab,62xx_naics_priv_salary,62xx_naics_priv_wages,62xx_naics_priv_weekly,62xx_naics_wage_ratio_npo,71xx_naics_npo_employ,71xx_naics_npo_estab,71xx_naics_npo_salary,71xx_naics_npo_wages,71xx_naics_npo_weekly,71xx_naics_percent_npo,71xx_naics_priv_employ,71xx_naics_priv_estab,71xx_naics_priv_salary,71xx_naics_priv_wages,71xx_naics_priv_weekly,71xx_naics_wage_ratio_npo,81xx_naics_npo_employ,81xx_naics_npo_estab,81xx_naics_npo_salary,81xx_naics_npo_wages,81xx_naics_npo_weekly,81xx_naics_percent_npo,81xx_naics_priv_employ,81xx_naics_priv_estab,81xx_naics_priv_salary,81xx_naics_priv_wages,81xx_naics_priv_weekly,81xx_naics_wage_ratio_npo
2017,f-48397,"Rockwall County, Texas",642,25,26684,17131,513,0.0250477936873317,25631,2375,41344,1059699,795,0.639581985091441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48409,"San Patricio County, Texas",190,27,37482,7122,721,0.0125594923320994,15128,1039,50024,756779,962,0.74689143950263,,,,,,,,,,,,,143,20,38620,5523,743,0.120981387478849,1182,96,35627,42093,685,1.09725260675626,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48423,"Smith County, Texas",11433,137,61499,703121,1183,0.129208340396677,88485,6086,44184,3909583,850,1.47784399480944,,,,,,,,,,,,,9447,71,67848,640957,1305,0.415161502966381,22755,884,51982,1182851,1000,1.6662491711486,,,,,,,,,,,,,463,24,33875,15684,651,0.15573494786411,2973,589,28821,85669,554,1.21494153934438
2017,f-48427,"Starr County, Texas",276,27,27525,7597,529,0.02947458351132,9364,536,20745,194246,399,1.34026391391148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48439,"Tarrant County, Texas",48747,816,62500,3046695,1202,0.0640029305298981,761637,42763,53850,41014463,1036,1.17353261481843,7591,84,52064,395217,1001,0.663374989076291,11443,496,45323,518641,872,1.62491807371805,35194,491,69754,2454909,1341,0.338543821002915,103957,5708,53964,5609956,1038,1.52029118172704,2164,40,32549,70437,626,0.135309197774026,15993,534,34906,558265,671,0.922721474131821,2693,108,28459,76639,547,0.108265658920962,24874,3652,35151,874345,676,0.791341100575592
2017,f-48453,"Travis County, Texas",36084,828,50328,1816037,968,0.060025251727115,601147,40311,64612,38841290,1243,0.768084976497161,6247,126,45279,282859,871,0.501807374086272,12449,714,39903,496740,767,1.31300565463245,19358,298,54586,1056680,1050,0.270080223229857,71675,4313,56680,4062583,1090,0.950065268470977,1120,34,30682,34364,590,0.106241699867198,10542,694,34176,360275,657,0.887019369760046,4930,199,43696,215419,840,0.191285453769449,25773,4184,43784,1128446,842,0.997534471737741
2017,f-48463,"Uvalde County, Texas",271,25,34572,9369,665,0.0377647714604236,7176,660,29414,211088,566,1.18344572621778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48465,"Val Verde County, Texas",994,20,47662,47376,917,0.0795772956528701,12491,799,29515,368682,568,1.70550347097975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48467,"Van Zandt County, Texas",138,16,43610,6018,839,0.0160055671537926,8622,928,33489,288750,644,1.3086271567892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48469,"Victoria County, Texas",,,,,,,,,,,,,,,,,,,,,,,,,769,27,34468,26506,663,0.134252793296089,5728,309,44860,256942,863,0.741757768787122,,,,,,,,,,,,,,,,,,,,,,,,
